2024-02-29 22:29:52,541 - INFO - 训练的batch_size以及lr分别是100,0
2024-02-29 22:30:27,200 - INFO - epoch: 0, batch: 100 loss: 8.299, acc: 0.0200
2024-02-29 22:30:48,091 - INFO - epoch: 0, batch: 200 loss: 8.300, acc: 0.0400
2024-02-29 22:31:07,945 - INFO - epoch: 0, batch: 300 loss: 8.292, acc: 0.0000
2024-02-29 22:31:28,440 - INFO - epoch: 0, batch: 400 loss: 8.284, acc: 0.0300
2024-02-29 22:31:48,699 - INFO - epoch: 0, batch: 500 loss: 8.279, acc: 0.0500
2024-02-29 22:32:08,681 - INFO - epoch: 0, batch: 600 loss: 8.274, acc: 0.1000
2024-02-29 22:32:27,952 - INFO - epoch: 0, batch: 700 loss: 8.273, acc: 0.0700
2024-02-29 22:32:47,017 - INFO - epoch: 0, batch: 800 loss: 8.267, acc: 0.0400
2024-02-29 22:33:07,177 - INFO - epoch: 0, batch: 900 loss: 8.252, acc: 0.1100
2024-02-29 22:33:27,268 - INFO - epoch: 0, batch: 1000 loss: 8.233, acc: 0.1200
2024-02-29 22:33:46,289 - INFO - epoch: 0, batch: 1100 loss: 8.199, acc: 0.1600
2024-02-29 22:34:04,487 - INFO - epoch: 0, batch: 1200 loss: 8.152, acc: 0.2500
2024-02-29 22:34:23,886 - INFO - epoch: 0, batch: 1300 loss: 8.109, acc: 0.2700
2024-02-29 22:34:43,479 - INFO - epoch: 0, batch: 1400 loss: 8.038, acc: 0.3800
2024-02-29 22:35:02,296 - INFO - epoch: 0, batch: 1500 loss: 7.975, acc: 0.5000
2024-02-29 22:35:20,151 - INFO - epoch: 0, batch: 1600 loss: 7.862, acc: 0.7500
2024-02-29 22:35:39,654 - INFO - epoch: 0, batch: 1700 loss: 7.741, acc: 0.8900
2024-02-29 22:35:59,136 - INFO - epoch: 0, batch: 1800 loss: 7.617, acc: 0.9600
2024-02-29 22:36:17,968 - INFO - epoch: 0, batch: 1900 loss: 7.444, acc: 1.1700
2024-02-29 22:36:35,809 - INFO - epoch: 0, batch: 2000 loss: 7.265, acc: 1.4900
2024-02-29 22:36:55,238 - INFO - epoch: 0, batch: 2100 loss: 7.035, acc: 1.8300
2024-02-29 22:37:15,010 - INFO - epoch: 0, batch: 2200 loss: 6.858, acc: 1.8700
2024-02-29 22:37:33,849 - INFO - epoch: 0, batch: 2300 loss: 6.631, acc: 2.3700
2024-02-29 22:37:51,521 - INFO - epoch: 0, batch: 2400 loss: 6.410, acc: 3.2100
2024-02-29 22:38:11,022 - INFO - epoch: 0, batch: 2500 loss: 6.148, acc: 3.9200
2024-02-29 22:38:30,657 - INFO - epoch: 0, batch: 2600 loss: 5.927, acc: 4.9000
2024-02-29 22:38:49,303 - INFO - epoch: 0, batch: 2700 loss: 5.727, acc: 5.9400
2024-02-29 22:39:06,880 - INFO - epoch: 0, batch: 2800 loss: 5.460, acc: 7.2400
2024-02-29 22:39:26,613 - INFO - epoch: 0, batch: 2900 loss: 5.242, acc: 8.3400
2024-02-29 22:39:45,961 - INFO - epoch: 0, batch: 3000 loss: 4.986, acc: 9.8100
2024-02-29 22:40:04,661 - INFO - epoch: 0, batch: 3100 loss: 4.798, acc: 11.4100
2024-02-29 22:40:22,326 - INFO - epoch: 0, batch: 3200 loss: 4.575, acc: 13.2300
2024-02-29 22:40:41,707 - INFO - epoch: 0, batch: 3300 loss: 4.345, acc: 14.5000
2024-02-29 22:41:00,955 - INFO - epoch: 0, batch: 3400 loss: 4.121, acc: 17.6900
2024-02-29 22:41:19,303 - INFO - epoch: 0, batch: 3500 loss: 3.909, acc: 19.4300
2024-02-29 22:41:37,532 - INFO - epoch: 0, batch: 3600 loss: 3.751, acc: 21.4800
2024-02-29 22:41:56,846 - INFO - epoch: 0, batch: 3700 loss: 3.557, acc: 23.8900
2024-02-29 22:42:16,269 - INFO - epoch: 0, batch: 3800 loss: 3.364, acc: 27.3900
2024-02-29 22:42:34,602 - INFO - epoch: 0, batch: 3900 loss: 3.170, acc: 29.3100
2024-02-29 22:42:52,748 - INFO - epoch: 0, batch: 4000 loss: 3.048, acc: 31.2600
2024-02-29 22:43:12,282 - INFO - epoch: 0, batch: 4100 loss: 2.907, acc: 34.3100
2024-02-29 22:43:31,487 - INFO - epoch: 0, batch: 4200 loss: 2.786, acc: 36.2700
2024-02-29 22:43:49,471 - INFO - epoch: 0, batch: 4300 loss: 2.618, acc: 38.9800
2024-02-29 22:44:07,978 - INFO - epoch: 0, batch: 4400 loss: 2.511, acc: 40.5800
2024-02-29 22:44:27,329 - INFO - epoch: 0, batch: 4500 loss: 2.405, acc: 42.0600
2024-02-29 22:44:46,605 - INFO - epoch: 0, batch: 4600 loss: 2.330, acc: 44.7800
2024-02-29 22:45:03,688 - INFO - epoch 0 的平均loss为5.919，平均acc为11.6540...
2024-02-29 22:45:03,693 - INFO - epoch 0 开始验证...
2024-02-29 22:49:51,435 - INFO - 第0个epoch的识别准确率为：42%
2024-02-29 22:50:12,324 - INFO - epoch: 1, batch: 100 loss: 2.038, acc: 50.6900
2024-02-29 22:50:30,729 - INFO - epoch: 1, batch: 200 loss: 1.945, acc: 52.1600
2024-02-29 22:50:49,774 - INFO - epoch: 1, batch: 300 loss: 1.904, acc: 52.8000
2024-02-29 22:51:09,223 - INFO - epoch: 1, batch: 400 loss: 1.857, acc: 53.9600
2024-02-29 22:51:28,142 - INFO - epoch: 1, batch: 500 loss: 1.782, acc: 55.6900
2024-02-29 22:51:45,493 - INFO - epoch: 1, batch: 600 loss: 1.723, acc: 56.6500
2024-02-29 22:52:04,499 - INFO - epoch: 1, batch: 700 loss: 1.670, acc: 57.9400
2024-02-29 22:52:23,488 - INFO - epoch: 1, batch: 800 loss: 1.627, acc: 59.2800
2024-02-29 22:52:41,626 - INFO - epoch: 1, batch: 900 loss: 1.567, acc: 60.2400
2024-02-29 22:52:58,937 - INFO - epoch: 1, batch: 1000 loss: 1.519, acc: 61.0900
2024-02-29 22:53:17,861 - INFO - epoch: 1, batch: 1100 loss: 1.482, acc: 62.4900
2024-02-29 22:53:36,656 - INFO - epoch: 1, batch: 1200 loss: 1.460, acc: 62.7100
2024-02-29 22:53:54,140 - INFO - epoch: 1, batch: 1300 loss: 1.407, acc: 64.1800
2024-02-29 22:54:12,154 - INFO - epoch: 1, batch: 1400 loss: 1.357, acc: 65.3800
2024-02-29 22:54:30,916 - INFO - epoch: 1, batch: 1500 loss: 1.368, acc: 64.8500
2024-02-29 22:54:49,128 - INFO - epoch: 1, batch: 1600 loss: 1.327, acc: 66.2600
2024-02-29 22:55:06,057 - INFO - epoch: 1, batch: 1700 loss: 1.293, acc: 66.4900
2024-02-29 22:55:24,750 - INFO - epoch: 1, batch: 1800 loss: 1.242, acc: 68.0300
2024-02-29 22:55:43,292 - INFO - epoch: 1, batch: 1900 loss: 1.230, acc: 68.7200
2024-02-29 22:56:00,441 - INFO - epoch: 1, batch: 2000 loss: 1.231, acc: 68.2400
2024-02-29 22:56:18,224 - INFO - epoch: 1, batch: 2100 loss: 1.173, acc: 69.5300
2024-02-29 22:56:36,825 - INFO - epoch: 1, batch: 2200 loss: 1.149, acc: 70.5600
